iter	Passed	Remaining
0	139	138867
1	141	70562
2	143	47754
3	146	36462
4	148	29629
5	151	25036
6	153	21749
7	155	19280
8	157	17361
9	159	15821
10	162	14566
11	164	13547
12	166	12669
13	169	11911
14	171	11251
15	173	10668
16	175	10143
17	177	9670
18	178	9236
19	180	8844
20	181	8480
21	183	8142
22	184	7834
23	185	7550
24	186	7290
25	188	7043
26	189	6811
27	190	6596
28	191	6400
29	192	6216
30	193	6042
31	194	5874
32	195	5715
33	195	5566
34	196	5425
35	197	5291
36	198	5165
37	199	5046
38	200	4930
39	200	4820
40	201	4714
41	202	4614
42	203	4519
43	203	4427
44	204	4340
45	205	4257
46	205	4176
47	206	4098
48	207	4023
49	207	3951
50	208	3881
51	209	3814
52	209	3750
53	210	3688
54	211	3628
55	211	3571
56	212	3514
57	213	3459
58	213	3407
59	214	3355
60	214	3306
61	215	3258
62	215	3211
63	216	3166
64	217	3122
65	217	3080
66	218	3039
67	218	2995
68	219	2957
69	219	2919
70	220	2882
71	220	2846
72	221	2811
73	221	2777
74	222	2744
75	223	2712
76	223	2681
77	224	2650
78	224	2621
79	225	2592
80	225	2563
81	226	2535
82	227	2508
83	227	2482
84	228	2454
85	228	2429
86	228	2402
87	229	2378
88	230	2355
89	230	2332
90	231	2309
91	231	2287
92	232	2266
93	232	2245
94	233	2224
95	234	2204
96	234	2184
97	235	2165
98	235	2146
99	236	2127
100	236	2109
101	237	2089
102	237	2071
103	238	2053
104	239	2038
105	239	2021
106	240	2005
107	240	1989
108	241	1973
109	242	1958
110	242	1942
111	243	1927
112	243	1913
113	244	1898
114	244	1884
115	245	1869
116	245	1855
117	246	1842
118	246	1828
119	247	1815
120	248	1803
121	248	1790
122	249	1775
123	249	1763
124	250	1751
125	250	1739
126	251	1727
127	251	1714
128	252	1703
129	252	1692
130	253	1680
131	253	1669
132	254	1659
133	255	1648
134	255	1638
135	256	1627
136	256	1617
137	257	1607
138	257	1597
139	258	1587
140	259	1578
141	259	1568
142	260	1559
143	260	1550
144	261	1541
145	262	1532
146	262	1523
147	263	1514
148	263	1506
149	264	1498
150	264	1489
151	265	1481
152	266	1473
153	266	1465
154	267	1457
155	267	1449
156	268	1441
157	269	1433
158	269	1426
159	270	1418
160	270	1411
161	271	1403
162	271	1396
163	272	1389
164	273	1382
165	273	1375
166	274	1368
167	275	1362
168	275	1355
169	276	1348
170	276	1341
171	277	1335
172	278	1329
173	278	1322
174	279	1316
175	279	1309
176	280	1303
177	280	1297
178	281	1291
179	282	1285
180	282	1278
181	283	1272
182	283	1266
183	284	1260
184	284	1255
185	285	1249
186	286	1243
187	286	1238
188	287	1232
189	287	1227
190	288	1222
191	289	1217
192	289	1212
193	290	1207
194	291	1201
195	291	1196
196	292	1191
197	292	1186
198	293	1181
199	294	1176
200	294	1171
201	295	1166
202	295	1161
203	296	1157
204	297	1152
205	297	1147
206	298	1142
207	298	1138
208	299	1133
209	300	1128
210	300	1124
211	301	1119
212	301	1115
213	302	1111
214	303	1106
215	303	1102
216	304	1098
217	304	1093
218	305	1089
219	306	1085
220	306	1080
221	307	1076
222	307	1072
223	308	1068
224	308	1064
225	309	1059
226	310	1055
227	310	1051
228	311	1047
229	311	1043
230	312	1039
231	312	1036
232	313	1032
233	314	1028
234	314	1024
235	315	1020
236	315	1017
237	316	1013
238	317	1009
239	317	1006
240	318	1002
241	318	998
242	319	995
243	320	991
244	320	987
245	321	984
246	321	980
247	322	977
248	322	973
249	323	970
250	324	967
251	324	963
252	325	960
253	325	957
254	326	953
255	327	950
256	327	947
257	328	944
258	328	940
259	329	937
260	330	934
261	330	931
262	331	928
263	332	926
264	332	923
265	333	921
266	334	918
267	335	915
268	335	912
269	336	909
270	336	906
271	337	903
272	338	900
273	338	897
274	339	894
275	339	891
276	340	888
277	341	885
278	341	882
279	342	880
280	342	877
281	343	874
282	344	872
283	344	869
284	345	866
285	346	863
286	346	861
287	347	858
288	347	855
289	348	853
290	349	850
291	349	847
292	350	845
293	350	842
294	351	840
295	352	837
296	352	835
297	353	832
298	354	830
299	354	827
300	355	824
301	355	822
302	356	819
303	356	817
304	357	814
305	358	812
306	358	810
307	359	807
308	360	805
309	360	802
310	361	800
311	361	797
312	362	795
313	363	793
314	363	790
315	364	788
316	364	786
317	365	783
318	366	781
319	366	779
320	367	776
321	367	774
322	368	772
323	369	770
324	369	767
325	370	765
326	370	763
327	371	761
328	372	759
329	372	756
330	373	754
331	374	752
332	374	750
333	375	748
334	375	746
335	376	743
336	377	741
337	377	739
338	378	737
339	378	735
340	379	733
341	380	731
342	380	729
343	381	727
344	381	725
345	382	723
346	383	721
347	383	719
348	384	717
349	385	715
350	385	712
351	386	711
352	387	709
353	387	707
354	388	705
355	389	703
356	389	701
357	390	699
358	390	697
359	391	695
360	392	694
361	392	692
362	393	690
363	393	688
364	394	686
365	395	684
366	395	682
367	396	680
368	396	678
369	397	676
370	398	675
371	398	673
372	399	671
373	400	669
374	400	667
375	401	665
376	401	664
377	402	662
378	403	660
379	403	658
380	404	656
381	404	654
382	405	653
383	406	651
384	406	649
385	407	648
386	407	646
387	408	644
388	409	642
389	409	640
390	410	639
391	411	637
392	411	635
393	412	634
394	412	632
395	413	630
396	414	629
397	414	627
398	415	625
399	416	624
400	416	622
401	417	620
402	417	618
403	418	617
404	419	615
405	419	613
406	420	612
407	420	610
408	421	609
409	422	607
410	422	605
411	423	604
412	423	602
413	424	600
414	425	599
415	425	597
416	426	596
417	426	594
418	427	593
419	428	591
420	429	590
421	429	588
422	430	587
423	430	585
424	431	583
425	432	582
426	432	580
427	433	579
428	434	577
429	434	576
430	435	574
431	435	573
432	436	571
433	437	570
434	437	568
435	438	567
436	439	565
437	439	564
438	440	562
439	440	561
440	441	559
441	442	558
442	442	556
443	443	555
444	444	553
445	444	552
446	445	550
447	445	549
448	446	547
449	447	546
450	447	545
451	448	543
452	448	542
453	449	540
454	450	539
455	450	537
456	451	536
457	451	534
458	452	533
459	453	531
460	453	530
461	454	529
462	454	527
463	455	526
464	456	525
465	457	523
466	457	522
467	458	521
468	458	519
469	459	518
470	460	516
471	460	515
472	461	514
473	461	512
474	462	511
475	463	509
476	463	508
477	464	507
478	465	505
479	465	504
480	466	503
481	466	501
482	467	500
483	468	499
484	468	497
485	469	496
486	470	495
487	470	493
488	471	492
489	471	491
490	472	489
491	473	488
492	473	487
493	474	485
494	474	484
495	475	483
496	476	481
497	476	480
498	477	479
499	477	477
500	478	476
501	479	475
502	479	474
503	480	472
504	480	471
505	481	470
506	482	468
507	482	467
508	483	466
509	484	465
510	484	463
511	485	462
512	485	461
513	486	460
514	487	458
515	487	457
516	488	456
517	489	455
518	489	453
519	490	452
520	490	451
521	491	450
522	492	448
523	492	447
524	493	446
525	493	445
526	494	443
527	495	442
528	495	441
529	496	440
530	496	438
531	497	437
532	498	436
533	498	435
534	499	434
535	500	432
536	500	431
537	501	430
538	501	429
539	502	428
540	503	426
541	503	425
542	504	424
543	504	423
544	505	422
545	506	420
546	506	419
547	507	418
548	507	417
549	508	416
550	509	414
551	509	413
552	510	412
553	511	411
554	511	410
555	512	409
556	512	407
557	513	406
558	514	405
559	514	404
560	515	403
561	515	402
562	516	400
563	517	399
564	517	398
565	518	397
566	519	396
567	519	395
568	520	394
569	520	392
570	521	391
571	522	390
572	522	389
573	523	388
574	523	387
575	524	386
576	525	384
577	525	383
578	526	382
579	526	381
580	527	380
581	528	379
582	528	378
583	529	377
584	529	375
585	530	374
586	531	373
587	531	372
588	532	371
589	533	370
590	533	369
591	534	368
592	534	367
593	535	366
594	536	364
595	536	363
596	537	362
597	538	361
598	538	360
599	539	359
600	539	358
601	540	357
602	541	356
603	541	355
604	542	354
605	542	353
606	543	351
607	544	350
608	544	349
609	545	348
610	546	347
611	546	346
612	547	345
613	547	344
614	548	343
615	548	342
616	549	341
617	550	340
618	550	338
619	551	337
620	551	336
621	552	335
622	553	334
623	553	333
624	554	332
625	554	331
626	555	330
627	556	329
628	556	328
629	557	327
630	557	326
631	558	325
632	559	324
633	559	323
634	560	322
635	560	321
636	561	319
637	562	318
638	562	317
639	563	316
640	563	315
641	564	314
642	565	313
643	565	312
644	566	311
645	566	310
646	567	309
647	568	308
648	568	307
649	569	306
650	569	305
651	570	304
652	571	303
653	571	302
654	572	301
655	572	300
656	573	299
657	573	298
658	574	297
659	575	296
660	575	295
661	576	294
662	576	293
663	577	292
664	578	291
665	578	290
666	579	289
667	580	288
668	580	287
669	581	286
670	582	285
671	582	284
672	583	283
673	583	282
674	584	281
675	585	280
676	585	279
677	586	278
678	586	277
679	587	276
680	587	275
681	588	274
682	589	273
683	589	272
684	590	271
685	590	270
686	591	269
687	592	268
688	592	267
689	593	266
690	593	265
691	594	264
692	595	263
693	595	262
694	596	261
695	597	260
696	597	259
697	598	258
698	598	257
699	599	256
700	599	255
701	600	254
702	601	253
703	601	253
704	602	252
705	602	251
706	603	250
707	604	249
708	604	248
709	605	247
710	605	246
711	606	245
712	606	244
713	607	243
714	608	242
715	608	241
716	609	240
717	610	239
718	610	238
719	611	237
720	611	236
721	612	235
722	613	234
723	613	233
724	614	233
725	614	232
726	615	231
727	616	230
728	616	229
729	617	228
730	618	227
731	618	226
732	619	225
733	619	224
734	620	223
735	621	222
736	621	221
737	622	220
738	622	220
739	623	219
740	624	218
741	625	217
742	625	216
743	626	215
744	627	214
745	628	213
746	628	212
747	629	212
748	630	211
749	630	210
750	631	209
751	631	208
752	632	207
753	633	206
754	633	205
755	634	204
756	635	203
757	635	202
758	636	202
759	636	201
760	637	200
761	638	199
762	638	198
763	639	197
764	640	196
765	640	195
766	641	194
767	641	193
768	642	192
769	643	192
770	643	191
771	644	190
772	644	189
773	645	188
774	646	187
775	646	186
776	647	185
777	647	184
778	648	183
779	649	183
780	649	182
781	650	181
782	650	180
783	651	179
784	652	178
785	652	177
786	653	176
787	654	175
788	654	175
789	655	174
790	655	173
791	656	172
792	657	171
793	657	170
794	658	169
795	658	168
796	659	168
797	660	167
798	660	166
799	661	165
800	662	164
801	662	163
802	663	162
803	663	161
804	664	160
805	665	160
806	665	159
807	666	158
808	666	157
809	667	156
810	668	155
811	668	154
812	669	153
813	669	153
814	670	152
815	671	151
816	671	150
817	672	149
818	672	148
819	673	147
820	673	146
821	674	146
822	675	145
823	675	144
824	676	143
825	677	142
826	677	141
827	678	140
828	678	140
829	679	139
830	680	138
831	681	137
832	681	136
833	682	135
834	683	135
835	684	134
836	684	133
837	685	132
838	685	131
839	686	130
840	687	129
841	687	129
842	688	128
843	689	127
844	689	126
845	690	125
846	691	124
847	691	123
848	692	123
849	692	122
850	693	121
851	694	120
852	694	119
853	695	118
854	695	118
855	696	117
856	697	116
857	697	115
858	698	114
859	698	113
860	699	112
861	700	112
862	700	111
863	701	110
864	702	109
865	702	108
866	703	107
867	703	107
868	704	106
869	705	105
870	705	104
871	706	103
872	707	102
873	707	102
874	708	101
875	709	100
876	709	99
877	710	98
878	710	97
879	711	97
880	712	96
881	712	95
882	713	94
883	713	93
884	714	92
885	715	92
886	715	91
887	716	90
888	716	89
889	717	88
890	718	87
891	718	87
892	719	86
893	720	85
894	720	84
895	721	83
896	722	82
897	723	82
898	723	81
899	724	80
900	725	79
901	726	78
902	726	78
903	727	77
904	728	76
905	728	75
906	729	74
907	729	73
908	730	73
909	731	72
910	731	71
911	732	70
912	733	69
913	733	69
914	734	68
915	734	67
916	735	66
917	736	65
918	736	64
919	737	64
920	738	63
921	738	62
922	739	61
923	740	60
924	740	60
925	741	59
926	742	58
927	742	57
928	743	56
929	743	55
930	744	55
931	745	54
932	745	53
933	746	52
934	746	51
935	747	51
936	748	50
937	748	49
938	749	48
939	749	47
940	750	47
941	751	46
942	751	45
943	752	44
944	753	43
945	753	43
946	754	42
947	754	41
948	755	40
949	756	39
950	756	38
951	757	38
952	757	37
953	758	36
954	759	35
955	759	34
956	760	34
957	760	33
958	761	32
959	762	31
960	762	30
961	763	30
962	764	29
963	764	28
964	765	27
965	765	26
966	766	26
967	767	25
968	767	24
969	768	23
970	768	22
971	769	22
972	770	21
973	770	20
974	771	19
975	772	18
976	772	18
977	773	17
978	773	16
979	774	15
980	775	15
981	775	14
982	776	13
983	777	12
984	777	11
985	778	11
986	778	10
987	779	9
988	780	8
989	780	7
990	781	7
991	782	6
992	782	5
993	783	4
994	783	3
995	784	3
996	785	2
997	785	1
998	786	0
999	786	0
